Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Use of IMF credit (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Use of IMF credit (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Use of IMF credit (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40171993.2,98770365.8,131081597.8,352752616.2,355229891.1,372555169.2,387633123.4,375643168.3,334839124.6,300161714.8,276984771.4,284853905.2,274596496.6,276923268.4,628740557.2
Africa Western and Central,AFW,"Use of IMF credit (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Use of IMF credit (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374707057.4,355705668.9,343098130.6,371160687.2,405682628,423985126.3,390203038.9,410714177,431421881.2,420506996.4,787056610.5,1302262652,1605921016,1739652881,1478597286,914027909.7,532051255.4,395881505.2,388801462.9,1374114587,1861295680,2992458754
Albania,ALB,"Use of IMF credit (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13321000,29662027.2,54196929.5,64519612.4,54212531.1,54973840.3,64445534.6,144308798.7,148425240.2,141638824.6,144218235.1,159415248,169099897.6,158243429,162459042.7,163478853.7,152026589.8,144309407.5,129370620.5,117241292.8,107036111.5,96755468.2,150856823.2,243583720.9,387084198.2,488777110.1,470321203.4,447707759.2,627019436.4
Andorra,AND,"Use of IMF credit (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Use of IMF credit (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Use of IMF credit (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Use of IMF credit (DOD, current US$)",,,,,,,,,,,0,0,188911800,209913600,78361600,292780363,529318129.7,418467595,0,0,0,0,0,1173220000,1098430000,2312290000,2740980000,3853415364,3677792717,3099862949,3083195865,2483115001,2313851375,3519667710,4211220402,6130863051,6292570604,5868261814,5442162801,4914919736,5470438316,14376331417,14772334954,15995776074,14584967621,9967870478,478955828,503104192.5,490375759.9,3166796445,3110922140,3101306749,3104639592,3110859859,2926644104,2799231197,2715603928,2876808116,30922512048,46924457621,48873710060
