Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Real effective exchange rate index (2010 = 100),PX.REX.REER,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,314.23648591315,349.082200992683,365.164604163538,382.99310249918,417.237067343429,449.485305458102,415.033638350268,367.166665388186,303.808477945047,260.59486585606,220.55719431887,131.546771571278,134.905102310739,161.824411859016,139.728568482338,117.133674176324,119.647615353167,129.166165465873,135.547290544972,125.314549210642,119.412978276803,123.204216098016,114.231762470829,103.083983097346,103.522205666453,101.744625252279,101.318430669503,99.9214386612329,102.242552767421,100.275451252706,100,99.1235087135206,103.909842823323,101.799593887095,102.925892812041,96.5743356912044,95.5810775302885,97.7992840030978,93.5129220596801,95.4446574223906,91.1940008901881,86.7688269816769
Real effective exchange rate index (2010 = 100),PX.REX.REER,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,128.014053969619,132.34068556614,145.108225912098,149.890200145074,154.16969427934,162.378339401067,160.803295069344,141.430168662121,131.94559454384,132.857552027387,136.206360106874,131.429752450504,133.104601571052,131.070307258097,139.034328550628,117.04829518554,113.438478764436,115.40595493239,115.391406181151,119.519512552888,116.997703054306,114.66845043757,116.984542048804,117.765033052171,114.077865369797,110.93699455282,108.341039034821,106.156772902614,98.2181288436245,95.3741129527786,99.8367735193009,100,96.6661742609954,100.741075632756,99.9600276787277,100.30885749292,110.345926747963,111.704979827526,111.549133082671,108.19578448064,111.795961386916,111.018677890346,105.735618454293
Real effective exchange rate index (2010 = 100),PX.REX.REER,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.6731752095528,52.1220943712354,70.857584716562,69.8538094411204,74.2504755615309,72.781143361907,74.0109352156029,73.03479103649,73.6651890067564,67.9375197285164,71.6345813977443,80.1308993951781,86.9715092042822,99.4767335119748,107.811186705853,99.3364123440853,100,99.1272913038508,94.3493801186395,96.0664777235849,100.201418560644,103.209216958051,101.883426203714,98.736377094166,99.4632490787206,101.552466785596,99.4197154458952,94.5587844245031
Real effective exchange rate index (2010 = 100),PX.REX.REER,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
