ISO,Country,Subject Descriptor,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,Afghanistan,"Gross domestic product, constant prices",Percent change,,,,,,,,,,,,,,,,,,,,,,,,8.692,0.671,11.830,5.361,13.340,3.863,20.585,8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.647,1.189,3.912,-2.351
AFG,Afghanistan,"Gross domestic product, current prices",U.S. dollars,,,,,,,,,,,,,,,,,,,,,,,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.890,20.293,20.170,20.616,20.057,18.020,18.883,18.401,18.876,20.136
AFG,Afghanistan,Gross national savings,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,61.151,59.718,72.570,67.274,50.333,119.243,63.990,78.090,59.699,52.981,36.204,24.538,24.009,22.176,28.312,26.058,30.197,29.897,27.619
AFG,Afghanistan,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,,,,,,,,,,,,,35.663,16.358,10.569,6.785,8.681,26.419,-6.811,2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,0.626,2.302,5.607
AFG,Afghanistan,Volume of exports of goods and services,Percent change,,,,,,,,,,,,,,,,,,,,,,,,49.721,-6.049,46.504,-7.690,-10.467,-6.459,30.656,10.856,2.823,-23.515,-37.604,51.906,-11.653,-14.811,-6.600,28.012,-3.838,0.534
AFG,Afghanistan,General government total expenditure,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,6.943,11.927,15.069,15.698,18.303,21.478,20.918,21.170,20.801,21.937,25.028,24.977,25.402,25.947,28.029,27.732,28.936,27.999,27.937
AFG,Afghanistan,General government net lending/borrowing,National currency,,,,,,,,,,,,,,,,,,,,,,,-0.176,-4.624,-5.891,-2.941,2.225,-10.654,-20.090,-10.803,6.560,-5.618,1.882,-7.047,-20.334,-16.898,1.556,-8.653,21.697,-15.550,-34.703
AFG,Afghanistan,General government gross debt,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,345.977,270.602,244.967,206.356,22.985,20.137,19.057,16.247,7.697,7.501,6.759,6.904,8.700,9.154,8.437,7.998,7.384,6.130,7.397
AFG,Afghanistan,Current account balance,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,33.908,29.616,37.216,30.226,20.844,63.390,33.769,41.587,29.430,26.574,10.864,1.444,6.549,3.709,9.029,7.576,12.158,11.705,11.157
ALB,Albania,"Gross domestic product, constant prices",Percent change,2.684,5.700,2.900,1.100,2.000,-1.500,5.600,-0.800,-1.400,9.800,-10.000,-28.000,-7.200,9.600,9.400,8.900,9.100,-10.924,8.829,12.891,6.946,8.293,4.537,5.529,5.515,5.526,5.903,5.983,7.500,3.354,3.707,2.545,1.418,1.002,1.774,2.219,3.315,3.802,4.019,2.088,-3.482
ALB,Albania,"Gross domestic product, current prices",U.S. dollars,1.946,2.229,2.296,2.319,2.290,2.339,2.587,2.566,2.530,2.779,2.221,1.333,0.843,1.461,2.361,2.882,3.200,2.259,2.560,3.209,3.483,3.928,4.348,5.611,7.185,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.157,15.399,15.161
ALB,Albania,Gross national savings,Percent of GDP,27.121,39.852,41.023,44.479,46.845,40.830,40.314,42.435,40.026,38.061,41.016,-8.026,9.426,23.388,21.832,21.481,16.070,10.200,16.235,17.803,23.768,28.703,25.056,26.156,28.359,27.784,29.590,23.837,17.569,16.654,20.023,20.254,19.674,16.827,13.361,15.804,16.796,17.085,17.109,14.742,14.074
ALB,Albania,"Inflation, average consumer prices",Percent change,,,,,,,,,,,-0.180,35.717,225.996,85.005,22.565,7.794,12.734,33.167,20.646,0.389,0.039,3.120,5.202,2.363,2.867,2.363,2.370,2.960,3.310,2.231,3.615,3.443,2.036,1.925,1.613,1.868,1.287,1.985,2.029,1.411,1.621
ALB,Albania,Volume of exports of goods and services,Percent change,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,0.000,0.000,0.000,,,,-19.051,24.363,88.951,16.254,23.900,3.878,9.510,20.630,6.026,12.577,16.999,-7.623,3.320,10.450,1.013,-0.409,8.286,3.313,5.254,10.316,10.180,3.468,1.710,-27.569
ALB,Albania,General government total expenditure,Percent of GDP,,,,,,,,,,,,,,,,,,30.300,36.751,37.108,33.838,32.685,31.535,29.680,30.155,28.892,29.191,29.309,31.726,32.679,29.387,28.923,28.229,29.193,31.729,30.758,29.139,29.162,29.077,29.075,32.619
ALB,Albania,General government net lending/borrowing,National currency,,,,,,,,,,,,,,,,,,-39.434,-38.198,-39.220,-38.954,-38.524,-37.922,-33.928,-38.083,-27.806,-28.479,-30.695,-52.782,-75.345,-43.637,-45.734,-45.857,-70.408,-76.149,-61.931,-22.052,-21.795,-26.521,-31.579,-110.374
ALB,Albania,General government gross debt,Percent of GDP,,,,,,,,,,,,,,,,,,72.194,71.184,68.183,63.769,60.613,64.097,60.245,57.474,58.203,56.688,53.550,55.140,59.666,57.720,59.413,62.144,70.391,71.992,73.716,73.324,71.895,69.472,67.368,75.927
ALB,Albania,Current account balance,Percent of GDP,0.054,-0.455,-2.264,-1.583,-1.316,-1.158,0.057,0.265,-0.986,-2.691,-4.313,-12.368,-8.185,1.674,-3.706,-1.968,-7.894,-13.047,-6.944,-1.946,-7.070,-6.315,-10.179,-7.695,-5.849,-9.106,-6.656,-10.580,-15.768,-15.383,-11.321,-12.917,-10.202,-9.253,-10.797,-8.609,-7.572,-7.492,-6.754,-7.571,-8.677
DZA,Algeria,"Gross domestic product, constant prices",Percent change,-5.400,3.000,6.400,5.400,5.600,5.600,-0.200,-0.700,-1.900,4.800,0.800,-1.200,1.600,-2.102,-0.900,3.848,3.800,1.100,5.100,3.200,3.800,3.000,5.600,7.200,4.300,5.900,1.684,3.373,2.360,1.632,3.616,2.900,3.400,2.800,3.800,3.700,3.200,1.400,1.200,1.000,-5.100
DZA,Algeria,"Gross domestic product, current prices",U.S. dollars,42.346,44.372,44.780,47.529,51.513,61.132,61.535,63.300,51.664,52.558,61.892,46.670,49.217,50.963,42.426,42.066,46.941,48.178,48.188,48.845,54.749,54.745,56.761,67.864,85.332,103.198,117.027,134.977,171.001,137.211,161.207,200.020,209.059,209.755,213.810,165.979,160.034,167.498,174.868,171.673,145.656
DZA,Algeria,Gross national savings,Percent of GDP,30.432,28.024,26.014,26.789,31.868,31.733,24.115,24.526,20.168,20.330,31.077,36.068,32.378,29.848,27.127,26.254,27.739,30.447,25.455,26.516,40.261,39.737,38.333,43.320,46.290,52.143,54.872,57.119,57.461,47.167,48.936,47.946,45.034,43.778,41.131,34.326,34.221,34.717,37.743,34.817,28.795
DZA,Algeria,"Inflation, average consumer prices",Percent change,9.668,14.610,6.593,7.835,6.310,10.432,14.007,5.857,5.938,9.172,9.272,25.900,31.700,20.500,29.000,29.800,18.700,5.700,4.950,2.600,0.300,4.200,1.433,4.261,3.968,1.382,2.311,3.679,4.855,5.741,3.911,4.500,8.916,3.255,2.917,4.784,6.398,5.591,4.270,1.952,2.415
DZA,Algeria,Volume of exports of goods and services,Percent change,-14.588,,0.300,10.200,6.200,2.600,-0.300,6.000,0.400,8.000,3.400,0.575,5.989,2.135,-6.118,5.733,5.749,11.257,1.653,3.518,3.325,-1.696,5.798,6.754,2.729,4.954,-3.007,-1.882,-3.568,-8.443,-3.218,-4.822,-3.652,-6.394,0.311,5.733,9.612,0.042,-7.913,-2.954,-4.154
DZA,Algeria,General government total expenditure,Percent of GDP,,,,,,,,,,,25.260,29.941,30.616,35.360,33.586,31.376,29.179,30.953,31.183,31.935,28.600,31.570,35.216,29.263,29.170,28.882,29.279,34.949,39.353,43.946,38.698,41.174,43.494,36.649,41.290,46.222,41.995,41.119,40.321,41.786,42.428
