Country,index,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Zimbabwe,WGDPZIMB Index,6.679,8.011,8.54,7.764,6.352,5.637,6.218,6.741,7.815,8.286,8.784,8.641,6.751,6.564,6.891,7.111,8.553,8.53,6.402,6.858,6.69,6.777,6.342,5.728,5.806,5.755,5.444,5.292,4.416,9.666,12.042,14.102,17.115,19.091,19.496,19.963,20.549,17.585,34.156,21.832,21.51,28.371,28.371
Zambia,WGDPZAMB Index,3.83,3.873,3.995,3.216,2.739,2.281,1.662,2.27,3.714,3.999,3.285,3.379,3.182,3.273,3.657,3.807,3.597,4.303,3.538,3.404,3.601,4.094,4.194,4.902,6.221,8.332,12.757,14.057,17.911,15.328,20.266,23.46,25.503,28.037,27.141,21.251,20.958,25.874,26.312,23.309,18.111,22.148,22.148
Yemen,WGDPYEME Index,,,,,,,,,,,5.647,5.93,6.464,5.368,4.167,4.259,5.786,6.839,6.325,7.641,9.652,9.862,10.695,11.778,13.873,16.746,19.062,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,42.444,31.318,26.842,21.606,21.888,18.841,21.062,21.062
World,WGDPWRLD Index,11336.591,11727.604,11609.77,11840.065,12271.599,12862.13,15207.735,17310.212,19341.19,20197.416,22783.755,23763.496,25410.282,25826.196,27876.766,31048.402,31741.78,31627.745,31546.479,32745.402,33839.543,33623.874,34917.873,39152.22,44123.872,47784.318,51780.103,58349.348,64120.604,60803.913,66605.599,73857.461,75500.388,77606.229,79732.637,75186.365,76469.364,81409.498,86466.959,87654.251,85116.337,96527.426,96527.426
World YoY,WGDPWDYY Index,12.8,3.4,-1,2,3.6,4.8,18.2,13.8,11.7,4.4,12.8,4.3,6.9,1.6,7.9,11.4,2.2,-0.4,-0.3,3.8,3.3,-0.6,3.8,12.1,12.7,8.3,8.4,12.7,9.9,-5.2,9.5,10.9,2.2,2.8,2.7,-5.7,1.7,6.5,6.2,1.4,-2.9,13.4,13.4
West Bank and Gaza,WGDPWBGA Index,,,,,,,,,,,,,,,2.843,3.283,3.41,3.76,4.068,4.271,4.314,4.004,3.556,3.968,4.603,5.126,5.348,5.816,7.31,8.086,9.682,11.186,12.208,13.516,13.99,13.972,15.405,16.128,16.277,17.134,15.532,18.037,18.037
Virgin Islands (U.S.),WGDPVIRG Index,0.728,0.822,0.833,0.917,0.985,0.99,1.036,1.148,1.205,1.344,1.565,1.671,1.771,1.996,1.996,1.996,1.996,1.996,1.996,1.996,1.996,1.996,3.262,3.443,3.797,4.428,4.484,4.784,4.244,4.201,4.324,4.223,4.089,3.738,3.565,3.663,3.798,3.794,3.922,4.117,4.204,4.204,4.204
Vietnam,WGDPVIET Index,,,,,,14.095,26.337,36.658,25.424,6.293,6.472,9.613,9.867,13.181,16.286,20.736,24.657,26.844,27.21,28.684,31.173,32.685,35.064,39.553,45.428,57.633,66.372,77.414,99.13,106.015,147.201,172.595,195.591,213.709,233.451,239.258,257.096,281.354,310.106,334.365,346.616,366.138,366.138
Venezuela,WGDPVENE Index,59.117,66.327,67.737,67.556,60.01,61.965,60.392,48.029,60.226,43.526,48.598,53.477,60.402,60.065,58.419,77.408,70.543,85.844,91.331,97.977,117.141,122.904,92.894,83.621,112.453,145.51,183.478,230.364,315.953,329.788,393.192,316.482,381.286,371.005,482.359,482.359,482.359,482.359,482.359,482.359,482.359,482.359,482.359
Vanuatu,WGDPVANU Index,0.121,0.114,0.115,0.117,0.144,0.132,0.126,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.258,0.263,0.314,0.365,0.395,0.439,0.516,0.591,0.593,0.671,0.77,0.748,0.758,0.772,0.731,0.781,0.88,0.915,0.937,0.897,0.956,0.956
Uzbekistan,WGDPUZBE Index,,,,,,,,,,,13.361,13.678,12.941,13.099,12.899,13.35,13.949,14.745,14.989,17.078,13.761,11.401,9.688,10.134,12.03,14.308,17.331,22.311,29.549,33.689,49.766,60.179,67.517,73.18,80.845,86.196,86.138,62.081,52.633,59.908,59.894,69.239,69.239
US,WGDPUS Index,2857.307,3207.041,3343.789,3634.038,4037.613,4338.979,4579.631,4855.215,5236.438,5641.58,5963.144,6158.129,6520.327,6858.559,7287.236,7639.749,8073.122,8577.554,9062.818,9631.174,10250.948,10581.93,10929.113,11456.442,12217.193,13039.199,13815.587,14474.227,14769.858,14478.065,15048.964,15599.728,16253.972,16843.191,17550.68,18206.021,18695.111,19477.337,20533.057,21380.976,21060.474,23315.081,23315.081
Uruguay,WGDPURUG Index,10.163,11.048,9.179,5.102,4.85,4.732,5.88,7.367,8.214,8.439,9.299,11.206,12.878,15.002,17.475,19.298,20.516,23.97,25.386,23.984,22.823,20.899,13.606,12.046,13.686,17.363,19.579,23.411,30.366,31.661,40.284,47.962,51.264,57.531,57.236,53.274,57.237,64.234,64.515,61.231,53.561,59.319,59.319
Upper middle income,WGDPUPMC Index,1658.117,1792.584,1711.731,1626.146,1674.642,1713.511,1734.387,1850.902,2052.565,2170.714,2573.841,2494.887,2601.335,2837.279,3144.387,3538.257,3850.175,4124.231,4064.946,3841.078,4246.882,4267.639,4297.954,4811.817,5767.481,6930.926,8234.043,10201.008,12443.466,11983.178,14604.337,17647.554,18914.789,20306.635,20939.604,19663.539,19549.825,21644.841,23304.502,23681.745,22851.375,27104.087,27104.087
Ukraine,WGDPUKRA Index,,,,,,,,64.088,74.704,82.709,81.394,77.351,73.946,65.608,52.543,48.215,44.558,50.15,41.883,31.581,32.375,39.31,43.956,52.01,67.22,89.239,111.885,148.734,188.111,121.553,141.21,169.333,182.592,190.499,133.503,91.031,93.356,112.091,130.891,153.883,156.618,200.086,200.086
United Kingdom,WGDPUK Index,564.948,540.766,515.049,489.618,461.487,489.285,601.453,745.163,910.123,926.885,1093.169,1142.797,1179.66,1061.389,1140.49,1346.184,1421.619,1561.807,1655.061,1689.29,1666.126,1648.658,1785.844,2056.612,2422.959,2544.805,2709.912,3092.821,2931.502,2417.638,2491.397,2666.403,2706.341,2786.315,3065.223,2934.858,2699.66,2683.399,2878.152,2857.058,2704.609,3131.378,3131.378
Uganda,WGDPUGAN Index,1.245,1.337,2.178,2.24,3.616,3.52,3.923,6.27,6.509,5.276,4.304,3.322,2.857,3.22,3.99,5.756,6.045,6.269,6.585,5.999,6.193,5.841,6.179,6.607,7.939,9.239,9.978,11.903,14.44,25.128,26.673,27.872,27.306,28.916,32.612,32.387,29.204,30.744,32.927,35.353,37.6,40.53,40.53
United Arab Emirates,WGDPUAE Index,43.599,49.333,46.623,42.803,41.808,40.604,33.944,36.385,36.276,41.465,50.701,51.552,54.239,55.625,59.305,65.744,73.571,78.839,75.674,84.445,104.337,103.312,109.816,124.346,147.824,180.617,222.117,257.916,315.475,253.547,289.787,350.666,384.61,400.219,414.105,370.275,369.255,390.517,427.049,417.99,349.473,415.022,415.022
Turkey,WGDPTURK Index,68.824,71.04,64.546,61.678,59.99,67.235,75.728,87.173,90.853,107.143,150.676,150.028,158.459,180.17,130.69,169.486,181.476,189.835,275.967,256.386,274.303,201.751,240.253,314.592,408.876,506.308,557.058,681.337,770.462,649.273,776.993,838.763,880.556,957.783,938.953,864.317,869.693,858.996,778.472,759.937,720.289,819.035,819.035
Tunisia,WGDPTUNI Index,8.744,8.429,8.133,8.35,8.255,8.41,9.018,9.696,10.096,10.102,12.291,13.075,15.497,14.609,15.632,18.031,19.587,20.746,21.803,22.944,21.473,22.066,23.142,27.453,31.183,32.273,34.377,38.914,44.861,43.455,46.206,48.123,47.311,48.684,50.271,45.78,44.361,42.164,42.686,41.906,42.538,46.687,46.687
Turkmenistan,WGDPTRKM Index,,,,,,,,2.336,3.01,3.008,3.188,3.208,3.201,3.179,2.561,2.482,2.379,2.45,2.606,2.451,2.905,3.535,4.462,5.978,6.838,8.104,10.277,12.664,19.272,20.214,22.583,29.233,35.164,39.198,43.524,35.8,36.169,37.926,40.765,45.231,45.231,45.231,45.231
Trinidad & Tobago,WGDPTRIN Index,6.236,6.992,8.14,7.764,7.757,7.376,4.794,4.798,4.497,4.323,5.068,5.308,5.44,4.669,4.947,5.329,5.76,5.738,6.044,6.809,8.154,8.825,9.008,11.305,13.28,15.982,18.369,21.642,27.872,19.172,22.158,25.433,27.122,28.557,29.489,26.852,23.496,23.798,24.322,23.85,21.059,24.46,24.46
Tonga,WGDPTONG Index,0.053,0.062,0.062,0.061,0.064,0.06,0.068,0.082,0.107,0.106,0.114,0.132,0.137,0.138,0.196,0.209,0.222,0.215,0.192,0.199,0.205,0.181,0.183,0.202,0.231,0.262,0.292,0.299,0.344,0.312,0.367,0.415,0.471,0.451,0.44,0.437,0.421,0.46,0.489,0.512,0.485,0.469,0.469
Togo,WGDPTOGO Index,1.136,0.962,0.822,0.766,0.718,0.762,1.061,1.249,1.379,1.353,1.628,1.602,1.693,1.233,0.983,1.309,1.465,1.499,1.587,1.577,1.492,1.482,1.707,2.116,2.26,2.281,2.352,2.663,3.324,3.379,3.429,3.872,3.873,4.322,4.575,4.181,6.032,6.395,7.112,7.22,7.575,8.413,8.413
Timor-Leste,WGDPTIMO Index,,,,,,,,,,,,,,,,,,,,,0.367,0.477,0.47,0.49,0.441,0.462,0.454,0.543,0.648,0.727,0.882,1.042,1.16,1.396,1.447,1.594,1.651,1.596,1.564,2.029,2.158,3.621,3.621
Thailand,WGDPTHAI Index,32.353,34.846,36.59,40.043,41.798,38.901,43.097,50.535,61.667,72.251,85.343,98.235,111.453,128.889,146.683,169.279,183.035,150.181,113.676,126.669,126.392,120.296,134.301,152.281,172.896,189.319,221.758,262.942,291.383,281.71,341.105,370.819,397.558,420.333,407.339,401.296,413.366,456.357,506.755,544.081,499.682,505.947,505.947
Tanzania,WGDPTANZ Index,,,,,,,,,5.1,4.42,4.259,4.957,4.601,4.258,4.511,5.255,6.496,7.684,12.27,12.711,13.376,13.582,14.142,15.224,16.676,18.399,18.65,21.844,27.962,29.082,32.014,34.657,39.651,45.681,49.965,47.379,49.774,53.321,57.004,61.137,62.41,67.841,67.841
