ISO,Country,Year,2y to crisis,1y to crisis,crisis,1y after crisis,2y after crisis
AGO,Angola,1986,1,,,,
AGO,Angola,1987,,1,,,
AGO,Angola,1988,,,1,,
AGO,Angola,1989,,,,1,
AGO,Angola,1990,,,,,1
ALB,Albania,1988,1,,,,
ALB,Albania,1989,,1,,,
ALB,Albania,1990,,,1,,
ALB,Albania,1991,,,,1,
ALB,Albania,1992,,,,,1
ARG,Argentina,1980,1,,,,
ARG,Argentina,1981,,1,,,
ARG,Argentina,1982,,,1,,
ARG,Argentina,1983,,,,1,
ARG,Argentina,1984,,,,,1
ARG,Argentina,1999,1,,,,
ARG,Argentina,2000,,1,,,
ARG,Argentina,2001,,,1,,
ARG,Argentina,2002,,,,1,
ARG,Argentina,2003,,,,,1
ARG,Argentina,2012,1,,,,
ARG,Argentina,2013,,1,,,
ARG,Argentina,2014,,,1,,
ARG,Argentina,2015,,,,1,
ARG,Argentina,2016,1,,,,
ARG,Argentina,2017,,1,,,
ARG,Argentina,2018,,,1,,
ARG,Argentina,2019,,,,1,
ARG,Argentina,2020,,,,,1
ARM,Armenia,,,,,,
AUS,Australia,,,,,,
AUT,Austria,,,,,,
BEL,Belgium,,,,,,
BGD,Bangladesh,,,,,,
BGR,Bulgaria,1988,1,,,,
BGR,Bulgaria,1989,,1,,,
BGR,Bulgaria,1990,,,1,,
BGR,Bulgaria,1991,,,,1,
BGR,Bulgaria,1992,,,,,1
BLZ,Belize,2005,1,,,,
BLZ,Belize,2006,,1,,,
BLZ,Belize,2007,,,1,,
BLZ,Belize,2008,,,,1,
BLZ,Belize,2009,,,,,1
BLZ,Belize,2010,1,,,,
BLZ,Belize,2011,,1,,,
BLZ,Belize,2012,,,1,,
BLZ,Belize,2013,,,,1,
BLZ,Belize,2014,,,,,1
BLZ,Belize,2015,1,,,,
BLZ,Belize,2016,,1,,,
BLZ,Belize,2017,,,1,,
BLZ,Belize,2018,,,,1,
BLZ,Belize,2019,,,,,1
BOL,Bolivia,1978,1,,,,
BOL,Bolivia,1979,,1,,,
BOL,Bolivia,1980,,,1,,
BOL,Bolivia,1981,,,,1,
BOL,Bolivia,1982,,,,,1
BRA,Brazil,1981,1,,,,
BRA,Brazil,1982,,1,,,
BRA,Brazil,1983,,,1,,
BRA,Brazil,1984,,,,1,
BRA,Brazil,1985,,,,,1
BRN,Brunei,,,,,,
CAF,Central African Republic,,,,,,
CAN,Canada,,,,,,
CHE,Switzerland,,,,,,
CHL,Chile,1981,1,,,,
CHL,Chile,1982,,1,,,
CHL,Chile,1983,,,1,,
CHL,Chile,1984,,,,1,
CHL,Chile,1985,,,,,1
CHN,China ,,,,,,
CIV,Ivory Coast,1982,1,,,,
CIV,Ivory Coast,1983,,1,,,
CIV,Ivory Coast,1984,,,1,,
CIV,Ivory Coast,1985,,,,1,
CIV,Ivory Coast,1986,,,,,1
CIV,Ivory Coast,1999,1,,,,
CIV,Ivory Coast,2000,,1,,,
CIV,Ivory Coast,2001,,,1,,
CIV,Ivory Coast,2002,,,,1,
CIV,Ivory Coast,2003,,,,,1
CIV,Ivory Coast,2008,1,,,,
CIV,Ivory Coast,2009,,1,,,
CIV,Ivory Coast,2010,,,1,,
CIV,Ivory Coast,2011,,,,1,
CIV,Ivory Coast,2012,,,,,1
CMR,Camerun,1987,1,,,,
CMR,Camerun,1988,,1,,,
CMR,Camerun,1989,,,1,,
CMR,Camerun,1990,,,,1,
CMR,Camerun,1991,,,,,1
COD,"Congo, D.R.",1974,1,,,,
COD,"Congo, D.R.",1975,,1,,,
COD,"Congo, D.R.",1976,,,1,,
COD,"Congo, D.R.",1977,,,,1,
COD,"Congo, D.R.",1978,,,,,1
COG,"Congo, Rep.",1984,1,,,,
COG,"Congo, Rep.",1985,,1,,,
COG,"Congo, Rep.",1986,,,1,,
COG,"Congo, Rep.",1987,,,,1,
COG,"Congo, Rep.",1988,,,,,1
COL,Colombia,,,,,,
CRI,Costa Rica,1979,1,,,,
CRI,Costa Rica,1980,,1,,,
CRI,Costa Rica,1981,,,1,,
CRI,Costa Rica,1982,,,,1,
CRI,Costa Rica,1983,,,,,1
CYP,Cyprus,2011,1,,,,
CYP,Cyprus,2012,,1,,,
CYP,Cyprus,2013,,,1,,
CYP,Cyprus,2014,,,,1,
CYP,Cyprus,2015,,,,,1
CZE,Czech Republic ,,,,,,
DEU,Germany,,,,,,
DMA,Dominica,2000,1,,,,
DMA,Dominica,2001,,1,,,
DMA,Dominica,2002,,,1,,
DMA,Dominica,2003,,,,1,
DMA,Dominica,2004,,,,,1
DNK,Denmark,,,,,,
DOM,Dominican Rep.,1980,1,,,,
DOM,Dominican Rep.,1981,,1,,,
DOM,Dominican Rep.,1982,,,1,,
DOM,Dominican Rep.,1983,,,,1,
DOM,Dominican Rep.,1984,,,,,1
DOM,Dominican Rep.,2001,1,,,,
DOM,Dominican Rep.,2002,,1,,,
DOM,Dominican Rep.,2003,,,1,,
DOM,Dominican Rep.,2004,,,,1,
DOM,Dominican Rep.,2005,,,,,1
DZA,Algeria,,,,,,
ECU,Ecuador,1980,1,,,,
ECU,Ecuador,1981,,1,,,
ECU,Ecuador,1982,,,1,,
ECU,Ecuador,1983,,,,1,
ECU,Ecuador,1984,,,,,1
ECU,Ecuador,1997,1,,,,
ECU,Ecuador,1998,,1,,,
ECU,Ecuador,1999,,,1,,
ECU,Ecuador,2000,,,,1,
ECU,Ecuador,2001,,,,,1
ECU,Ecuador,2006,1,,,,
ECU,Ecuador,2007,,1,,,
ECU,Ecuador,2008,,,1,,
ECU,Ecuador,2009,,,,1,
ECU,Ecuador,2010,,,,,1
EGY,Egypt,1982,1,,,,
EGY,Egypt,1983,,1,,,
EGY,Egypt,1984,,,1,,
EGY,Egypt,1985,,,,1,
EGY,Egypt,1986,,,,,1
ESP,Spain,,,,,,
EST,Estonia,,,,,,
ETH,Ethiopia,,,,,,
FIN,Finland,,,,,,
FRA,Francia,,,,,,
GAB,Gabon,1984,1,,,,
GAB,Gabon,1985,,1,,,
GAB,Gabon,1986,,,1,,
GAB,Gabon,1987,,,,1,
GAB,Gabon,1988,,,,,1
GAB,Gabon,2000,1,,,,
GAB,Gabon,2001,,1,,,
GAB,Gabon,2002,,,1,,
GAB,Gabon,2003,,,,1,
GAB,Gabon,2004,,,,,1
GBR,United Kingdom,,,,,,
GEO,Georgia,,,,,,
GHA,Ghana,,,,,,
GIN,Guinea,1983,1,,,,
GIN,Guinea,1984,,1,,,
GIN,Guinea,1985,,,1,,
GIN,Guinea,1986,,,,1,
GIN,Guinea,1987,,,,,1
