Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,0,0,0,0,267,267,267,2.7,0,0,0,0,37,0,0,0,437,0,0,0,15,0,3,0,0,10,10,0,0,0.372,0,0,5,7,22,24.6,27.5,32.67432718,37.68798668,42.19228767,284.2650182,288.7906994,11394.04802,11302,11306,11305,11284.421,148.3124,125.4213,88.53993,1027,144.105277,172.6433059,200.2188497,316.5290516,363.6271504,441.3065443,525.270005,600.981004,674.756,747.256,820
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,446.023,571.793,511.848,745.262,34.958,34.402,109.435,34.534,383.268,271.273,91.072,15.982,19.619,15.774,17.651,16.834,8.7,0.305,0,0,0,1.232,0,0,0,0.6,0,0.0548619,0,0
Algeria,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.423,13.012,0.959,3.486,1.7,1.7,1.7,1.7,0,0,0,0.016,0.016,0,0.764,1260.359,1464.594,910.675,9540.029,12108.181,3537.518,2212.957,542.532,0,0,0,0.034,0.01,0.011,4700,0,0,0,0,0,0,76.7,0,0,0,0,0,0.1712819,0,0,0
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082.1946,1767.1669,1538.2281,2572.7462,4063.516,5163.703,5865.977,7330.006,3236.477,5123.868,4613.296,3738.7837,4370.445,4385.53,6091.557,3760.011,3259.434,2831.50196,738.0842,346.7705315,408.471132,355.1077519,322.4049237,310.9544358,323.1529343,316.0743366,283.6556615,3376.431068,157.6345244,137.48392,127.6976362,1274.59059,3508
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,24,32,0,0,0,0,0,0,0,0,0,161,175,391,702.114,739.90141,598,649,794,838,764,762,612,631,707,684,515,0.4,2.9,18.6,20,8,14,28,21,42.9,70
Argentina,100,462,362,15,0,472,0,0,0,0,0,0,0,0,0,0,970,0,0,0,0,0,3870,3507.1,4469.523,11649.7,4655.523,31736.4,23529.3,35530.3,31834.9,34415.3,32232.3,28476,10.551,69.225,0.173,0,0,0,10.316,41000,103289,116644,115873,109529.7,34249,35984,36220,36732,18068,17696,17750,17839,55874,44536,47301,3415,1361,13520,70740,2548.56512
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,30.8,32.229,76.577,64.034,126.885,31.314,0,24.915,17.548,14.142,46.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,23.899,41.532,37.981,37.981,0,0,0,0,0,0,74.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3649836,0
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,190,360,120,938
Bangladesh,,,,,,,,,,,,0,0,0.53,1.033,2.027,3.225,4.046,5.459,1.275,0.243,0.258,0.27,0.289,0.267,1.199,2.567,8.189,8.897,10.41,12.52,309.22,14.076,17.5,27.657,28.227,3.394,3.214,3.532,4.401,4.401,78.253,102.08,117.805,161.543,17.245,86.393,211.431,536.705,8.195,256.3063054,119.4591069,58.6671971,26.8830643,8.8727516,0,0,0,0,0,0,0
Barbados,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6960.4,1101.4,25,0
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6.933,149.758,158.503,588.884,4.136,15.751,32.846,42.43392,35.5041,4.557403,20.93,0.511,37.637,26.318,11.896,5.477,37.103,10.642,16.1,12.227,12.462,15.216,14.519,11.487,11.612,12.161,14.629,0,0
Belize,,,,,,,,,,,,,,,,,,,,,,0.197632,0.472821,3.230595,6.144993,0.488055,2.702375,2.460519,3.563852,2.642822,12.01195,1.764069,3.048357,4.723085,8.268537,1.545853,1.179583,0.014,0,0.0000864,0,0.012,1.899912,0.983129,1.307858,8.724944,555.1493619,558.267175,8.183571,10.761639,7.8089342,8.2695553,550.2003365,568.562724,6.0339148,7.2783801,4.1031292,532.9293698,13.5237911,22.731,659.6047991,695
Benin,0.8,0.8,0.8,0.8,0.8,4.3,4.3,14,14,14,4.340489,5.999383,9.316107,12.619379,14.759542,16.719825,15.442523,16.832511,19.098179,20.004136,18.905969,15.504892,4.996686,44.907587,87.56664,166.74584,265.92719,394.35031,440.11551,360.262,221.9191478,211.769505,93.5489495,114.629216,90.9745226,219.6226326,215.6763905,80.5670728,81.2973527,81.3373879,56.5082853,20.8679739,20.3576519,300.0803083,39.8420781,22.1998107,1085.244985,14.1242376,22.8865755,67.0778826,60.8486456,62.9053037,75.9063252,83.2294213,54.2749346,82.4819234,74.3387503,80.7037155,84.5108121,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,3.541,3.488,2.842,2.034,0.814,0.277,0,0,0,0,0,0,0,0,8.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,116.547,121.19,97.833,102.776,106.119,109.762,112.405,72.048,74.691,77.334,2.999,5.298,4.134,6.378,5.418,5.225,5.225,5.225,6.663,26.6888,196.20253,558.16253,438.08103,735.1463,586.7305,891.3576,2268.40625,2157.8275,958.55435,1255.8836,560.5145,800.735005,424.4307272,555.6749,168.5568,1402.920324,709.1283432,442.0447432,570.385,76.19946,67.10209,685,65.32556,55.66054,85.82444,68.0878,44.362762,440.8882,16.84087,12.27535,0,0,0,0,0.442,0,0,0.8655198,0,0,0.08,0
Bosnia & Herzegovina ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972.1775977,1110.131223,1181.35657,1268.060629,1852,1879,1145,1349.1182,709.144,4.25,5.281,24.02,3.59,3.79,4.61,5.99,6.83,30.211,1.69,2.39,0,0,0,0,0.599,14.4842715,0,0,45.6588291,25
Botswana,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,0,0,0,0,0,0.112,1.807,0.983,2.646,7.266,9.121,12.696,13.59,22.056,16.858,1.633,2.055,4.186,4.198,4.858,3.827,1.44,2.84,1.006,5.49,32.033,2.6,457.64,0.525,0,0,0,0,0,0,0,0.0042724,7.3319882,0.0013828,0.0028806,0
Brazil,48,811.6,43.5,112,416,43,0,0,0,0,0,20.8,35,40.8,39.8,47.371,62.83,137.893,286.377,352.69,411.435,439.478,441.296,28266.533,26641.555,17329.883,54301.686,98751.7,68315.1,85564.52,147531.895,28411.036,31888.5,63096.476,92622.26,5450.458,4901.753,10851.409,3561.105,10647.549,14955.63,0,0,0.2,0.019,4274.213,104.844,24.1,112.634,47.895,0.3963971,0.531486,0.4224349,43.0137065,598.3519155,0.137,0.032,4.492,0,0.0291104,0.008,0
Bulgaria,131.6891,133.7759,135.8627,137.9495,140.0363,142.1231,144.2099,128.2171,130.0735,131.9299,133.31703,141.81809,134.61436,135.4631,137.76573,124.14164,108.64894,118.75365,127.50815,140.0717,123.81445,101.1997,87.21918,77.81345,65.43929,80.01648,80.84592,103.79577,0,3.1,6484.8,7651,7984,8222.06,8110,342.4,231.87,514.76,267.48,350.39,19.36,226.56,22.75,4.51,38.6,72.17,14.25,19.61,86.32,122.89,0,0,0,0.96,0.025251,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.05,0.25,0.24,1.13,0.99,7.27,12.33,30.97,51.93,61.02,255.91,90.52,129.297,52.438,91.594,166.336,63.938,111.1,40.837,47.257,44.013,232.7,68.401,137.7,81.075,181.387,94.112,1329.363,39.273,40.848,36.858,40.268291,34.2371277,34.3367474,35.1766047,35.0963188,34.6258727,79.814487,87.3352312,83.5239508,82.6139472,101.165613,90
Burundi,,,0,0,0,0,0,0,0,0,0,0.051408,0.156153,0.307066,0,0,0,0,0,0,0,0,2.6005,5.0482,5.393457,7.32057,9.832113,10.974013,1.72972,1.32071,0.729982,0.069691,6.170704,13.271309,12.705123,5.881301,19.903632,35.526891,56.149841,78.436411,101.812774,106.5866,131.9666,161.459,140.652446,110.565076,120.809639,77.82605,65.50228,134,14.9887444,47.8467222,4.893,6.522,5.582,5.982,5.9020667,5.5648483,5.5517816,5.5767656,3.335622,8
Cabo Verde,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.006,0.019112,0.017049,0.093028,37.55995361,43.30993841,48.82399461,54.5457919,63.02642422,80.4044376,69.0236176,66.5406076,68.7654576,68.7771476,70.7208476,27.92118,24.29847,16.48819,205.94066,207.07554,36.58294,22.48318,15.63438,3.608418,4.050671,3.157,6.123,3.87754,3.936,3.895,0,0,0,0,0,0,0,0,115.055313,17.5955018,34.3
Cambodia,0,0,0,0,0,0,0,0,0,0,0,10,17,11,16,380,294,298,304.4909208,310.0260163,314.9628331,319.940899,325.8086971,331.6610711,337.2879309,347.7247996,1033.578551,1134.324243,1227.295831,1322.294702,1362.803795,2006.802489,752.087801,849.7677151,927.32,1225.721,883.89,1010.87,1140.3,1265.6,1406.8,1462.2,1551.4,1608.49,1671.6,1728.8,1787.11,1774.06,1949.30565,1956.090165,1962.977126,1969.968081,1977.064599,1984.268274,1991.580725,1999.003594,2006.538549,2014.187281,2025,2036,2047,2058
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0.01218,0.051054,2.961478,1.611226,0,1.321999,0.868855,19.138695,16.133273,22.181074,28.799838,32.798015,36.687589,405.895552,444.03195,510.08135,632.2776888,1104.233856,833.8627396,1093.21324,1739.45554,1256.64354,3396.30594,2016.68944,1896.67124,1941.05714,1041.53994,1064.11124,929.3253396,1993.25424,1070.51974,1280.7662,1576.4544,1610.8144,3396.73099,332.50391,92.54899,79.51366,166.7721617,44.7266682,109.3021939,221.7228076,69.0099232,50.5953421,353.0021677,1111.427811,132.721374,497.7038894,260.2203625,1722.037863
