"Real long term government bond yield, percent",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.581144286,0.886282692,75.59945339,-22.94274509,-22.2611499,-14.00393797,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.881830215,14.47049999,10.35509968,8.71393013,,,,,,-10.69579509,-0.404383964,-2.159529321,-1.101952047,4.707706163,10.48980315,3.545328032,0.657440707,8.991060722,5.34503459,9.621094758,-1.351548452,11.27042435,-17.35135044,-2.401636211,10.91247386,12.06444565,-10.13028267
Australia,0.627583981,2.77918005,5.158899784,4.044270039,2.38203001,1.261209965,2.265280008,2.056139946,2.551379919,2.787050009,2.830060005,0.896338999,-0.046845,-2.128109932,-6.222899914,-5.425869942,-3.169929981,-2.037250042,1.108530045,3.399620056,1.465399981,4.373129845,4.116909981,4.060500145,9.89632988,7.361740112,4.473869801,4.976099968,5.143630028,5.635109901,5.27159977,6.440649986,7.994080067,4.846889973,8.445019722,3.738529921,4.694250107,5.855860233,4.134980202,5.494569778,1.002564852,1.602864638,2.111423786,2.869180754,2.988227848,2.540754484,2.335783133,3.973979058,-0.357826087,3.879847495,2.646740701,0.314120708,1.583616914,1.77950495,0.297315777,1.395201508,1.482712494,0.635044715,0.386546763,-0.195946184,0.079663409
Austria,,,,,,,,,,,,3.00661993,1.065089941,0.649953008,0.239180997,1.206619978,1.451699972,3.238339901,4.612229824,4.256390095,2.917969942,3.799799919,4.477829933,4.838850021,2.350980043,4.580289841,5.593369961,5.500939846,4.991990089,4.903840065,6.000579834,5.441150188,4.75026989,3.467030048,4.319890022,5.539050102,4.527369976,4.522840023,3.886300087,3.584709883,3.601833949,2.7785668,3.281048881,2.841188947,2.165790849,1.294334157,2.110937389,2.097760902,1.130232388,3.531731938,1.532718604,-0.223306964,-0.194349694,-0.107862117,0.018779568,-0.061485461,-0.595024292,-1.648379064,-1.432532939,-1.428460614,-1.872454142
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.682238834,3.041345027,2.819725108,4.719857638,0.733323608,-1.9026652,5.379165777,4.594593625,4.495641089,3.244049791,1.504804297,1.170429836,1.666378586,2.910923638,1.98059523
Belgium,5.240049839,4.886859894,3.775269985,3.126660109,2.274379969,2.380199909,2.476109982,3.767149925,3.846669912,2.804219961,3.89586997,3.009429932,1.592499971,0.484723002,-3.997889996,-4.228199959,-0.1087,1.689149976,3.97939992,5.040919781,5.389019966,6.081729889,4.834149837,4.196630001,5.632480145,5.742320061,6.634500027,6.275519848,6.687950134,5.53455019,6.607180119,6.071450233,6.20758009,4.42854023,5.384699821,5.870679855,4.201089859,4.177460194,3.784130096,3.62116003,2.919012836,2.70169286,3.44250672,2.670539548,2.29772984,0.891935116,1.490545519,2.518411748,-0.070438447,3.910205733,1.129675371,0.870707502,0.323282666,1.15978661,1.218249036,0.22615547,-1.292182076,-1.498731687,-1.513024064,-1.066158368,-0.577580418
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.031214097,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88952859,24.64002133,1.545541491,10.42300048,8.864218618,8.141285549,9.119644331,8.434801715,7.840413414,7.298298308,5.529203177,4.750992203,4.309797552,5.857006414,4.484891504,4.079074196,6.757151287,6.81939851,4.215868065,3.781984075
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68184752,5.966261501,6.508089536,5.275160998,,,,,
Canada,4.074230194,4.15031004,3.936660051,3.241110086,3.401469946,2.7541399,1.957309961,2.322119951,2.831579924,2.96739006,4.672460079,4.100709915,2.24684,0.168983996,-2.155019999,-1.800519943,1.797700047,0.706703007,0.320161998,1.04471004,2.355819941,2.735349894,3.390209913,5.996520042,8.367409706,7.132919788,5.388229847,5.540279865,6.17069006,4.967569828,6.056709766,4.148930073,7.259150028,6.003640175,8.446379662,6.112609863,5.927929878,4.507319927,4.293190002,3.796540022,3.206393376,2.954046527,3.033272257,2.05227012,2.721074615,1.853947966,2.206307938,2.131616007,1.235562659,2.93136653,1.458961792,-0.127968422,0.358488435,1.323374769,0.322530759,0.395591972,-0.176259547,0.185615871,0.010940994,-0.361769024,0.035500368
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.907135208,3.267298429,2.217860479,1.926631015,-2.79343591,4.92150701,4.7724625,1.874691699,2.540468327,3.37083374,-0.434481277,0.190802463,0.440424603,2.33682398,2.161385398,1.199117716,-0.274342774
"China, People's Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96616,2.107125,0.5349,2.1637,1.695825,-0.867691667,-1.888066667,4.151658333,0.258066667,-1.488566667,0.857939,1.240576667,2.157148,1.919809333,0.863952,2.049569667,1.501304333,0.303412341,0.559281272
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.540717244,0.553031612,3.391471541,5.099444947,5.007272727,0.997926509,2.993417936,4.02519616,2.794499005,2.705,-0.469372103,-1.36012501,-0.601820346,0.184076428
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.324655561,4.99396268,5.713329988,3.397512362,5.651958073,2.895514954,0.604264611,3.511282937,2.601508674,1.829482665,2.102348169,-0.069008423,4.273723354,2.169959155,2.4980506,4.610945925,6.899357622,7.354988851,6.633667703,5.201666724,2.091563448,0.747008844,0.820459004,1.515092756
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.624611708,1.651491097,2.973685696,3.997094128,2.060725517,1.685402109,1.266007417,1.449375628,-1.725330468,3.818122647,2.411439394,1.790280864,-0.505956399,0.673368794,1.231844744,0.265635452,-0.256004209,-1.469700651,-0.167828283,-1.299542626,-2.032961952
Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.945488849,3.768829643,,4.498500452,,,,,
Denmark,4.079329967,4.377110004,2.25496006,0.981249988,2.536299944,2.349999905,1.01067996,0.477692008,0.096666999,6.043300152,4.187019825,4.670000076,3.766230106,2.230439901,-0.897153974,3.240839958,4.235640049,2.203530073,4.487090111,6.204619884,5.379300117,7.199580193,10.5948,7.456960201,7.705920219,6.549349785,6.165850163,7.191269875,5.191589832,4.963439941,8.116270065,7.196090221,7.370619774,5.819729805,5.42140007,5.500559807,3.913729906,4.045790195,3.590610027,2.789580107,2.890618785,2.809938811,2.658523659,2.346611625,3.368349783,1.677797645,1.967958803,2.629446018,0.645913785,2.543857208,0.727501855,0.073192635,-0.95126009,1.222630803,0.972975861,0.465492608,0.303333333,-0.582156974,-0.275711106,-0.903612362,-0.783224967
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,15.80876505,7.428672464,-2.080715291,-2.817301168,-0.152481274,-30.72259823,-3.527444011,9.456934045,5.406123987,2.977826661,21.48424869,10.42479042,,,,,,-10.6240452,0.587509514,-5.993781236,-8.299476317,-13.24040083,-40.35668587,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.637329747,5.106717918,0.935724442,1.936895764,2.438169839,6.276504765,2.612960252,-1.611473933,6.328651967,,,2.709583884,2.138124663,4.058198475,3.799697833,1.957318739,2.795754985,1.918523578,4.226898183,7.913021001
Finland,,4.775969982,2.629009962,3.082079887,-1.948070049,3.811269999,4.472569942,2.56114006,-1.051450014,5.703559875,5.094540119,1.658139944,0.851833999,-2.726919889,-7.882050037,-8.185560226,-4.176040173,-1.93343997,1.99980998,2.032170057,-1.180150032,-1.016299963,1.687510014,2.359989882,4.115980148,4.830910206,6.013979912,3.827369928,5.16561985,5.51406002,8.252980232,7.717609882,9.2062397,6.56058979,7.963960171,7.789999962,6.010890007,4.730629921,3.436450005,3.423559904,2.531542931,2.378026812,2.973497414,2.844871298,3.961847567,2.5765027,2.507271665,2.709860704,0.374304703,2.104585005,1.324978837,-0.31823335,-1.278739552,-0.354751507,0.239080359,0.879757538,-0.024166667,-0.290900648,-0.506435939,-1.065881666,-0.60212656
