"Interest paid on public debt, percent of GDP (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.478106064,9.062830358,7.712885244,5.900378175,4.191955431,4.056124852,4.400482328,3.853149355,3.236770348,2.865196648,2.644064076,2.896942453,3.173367788,3.35612324,3.161789838,3.11355476,3.209874848,2.872132657,2.694194003,2.462445772,2.057451577,2.230873683,2.077117369,2.091957636
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.623376623,1.809467692,2.149447052,2.269433919,2.762404195,3.102359613,3.461439689,3.934285303,3.914268293,3.815038956,3.934788408,3.490241537,3.033519059,2.169925556,1.386284172,0.968421053,0.80633894,0.860664793,0.556307946,0.375520716,0.276911338,0.258324765,0.259253776,0.265547006,0.219391013,0.254620951,0.26739406,0.895709942,0.497719083,0.555731156,0.933909203
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.107353973,5.75211217,6.936411919,7.387840222,4.435930873,4.07325043,2.334231572,1.429980459,1.920559791,1.507724112,1.267014914,1.071816972,1.846298729,1.849198068,1.162551159,0.901332324,0.861228827,0.751079497,1.043680922,1.781105277,2.842370709,3.622961081,4.736707324,5.58048047,6.842240634
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.678615475,2.580393303,2.729970169,2.848179343,2.863321635,2.753822989,2.942646297,1.727994743,2.631470115,2.248482168,4.933799866,3.471735922,3.919321773,4.830082472,4.305345009,3.507995916,3.696219011,3.129717134,2.766701988,7.057683155,2.082876562,2.059463144,2.307423576,2.618117296,2.690800777,2.512870413,2.540509482,2.702399944,2.510487281,2.755423758,2.564925945
Argentina,0.507423997,0.456858993,0.555585027,0.605687976,0.81963098,0.505182981,0.471698999,0.380315006,0.391654015,2.872200012,3.034699917,3.614010096,4.247499943,4.066939831,6.131599903,5.220570087,1.173889995,0.914411008,1.547129989,1.629080057,1.406569958,2.881210089,4.502980232,2.259219885,2.117300034,2.342159986,1.873289943,1.544620037,0.929807007,0.930863976,0.701072991,0.886148989,1.593760014,1.08683002,1.240479946,1.63530004,1.522459984,2.089815365,2.348704453,3.045775431,3.627945303,4.112498236,2.145099296,1.726227816,1.252585701,1.811194605,1.6359716,1.792652363,1.512654329,1.342130683,0.855006764,1.158277362,1.322236986,0.614144057,0.752402546,1.582729967,1.892469938,2.464962244,3.203159165,3.993049514,2.409776521
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.172588832,1.243724696,1.251600057,1.333051504,1.452748386,1.239906008,1.389241567,1.411567047,1.247075672,2.127177231,1.998328296,2.202822088,2.230786142,2.744283942,2.547138904,2.889240516,2.910696679,3.217109382,3.368933437,3.755289634,3.776460367,4.08027008,4.025383167,3.853885951,3.803902922,5.017560862
Australia,2.348381281,2.502113342,2.402042627,2.390269279,2.422802925,2.470201492,2.370769024,2.435176373,2.391949415,2.43128109,2.418514729,2.307225227,2.329694986,2.338851452,2.541574717,2.514416218,2.862853765,2.927829266,3.103206873,3.283113718,3.532184124,3.849742889,4.143503189,4.355046749,4.808925629,5.199896812,5.343046188,4.933129311,4.922837734,4.603813171,4.30045414,4.074725151,3.665798903,3.962206841,4.171836853,4.010723114,3.331346512,2.720986843,2.347294807,2.117102146,2.009067774,1.835490704,1.734345794,1.623130798,1.488432288,1.381853461,1.295943975,1.25463593,1.276017666,1.608276606,1.24308002,1.183666237,1.324864603,1.358632416,1.419432933,1.47499881,1.43841446,1.380122507,1.346271437,1.282277599,1.30617594
Austria,0.615706027,0.627147973,0.62865603,0.627007008,0.615558028,0.633542001,0.623682022,0.631330013,0.749900997,0.794942975,0.813243985,0.790140986,0.752923012,0.742111981,0.785187006,0.984466016,1.618710041,1.782019973,2.127350092,2.210740089,2.389169931,2.654999971,2.971980095,2.902220011,3.251970053,3.422189951,3.522130013,3.816900015,3.311870098,3.301049948,3.424479961,3.628760099,3.732460022,3.882329941,3.674240112,4.080739975,4.009449959,3.737560034,3.706959963,3.498019934,3.606389999,3.512850046,3.327960014,3.079040051,2.953170061,2.984719992,2.867330074,2.874219894,2.658819914,2.804670095,2.645090103,2.779453427,2.712969056,2.601912505,2.437200976,2.343790167,2.081916249,1.839198823,1.623026656,1.41250521,1.325820494
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008464194,0.100290561,0.324505308,0.119902849,0.101259918,0.399622967,0.394236612,0.260378253,0.279283624,0.228315431,0.208970012,0.167186536,0.186786573,0.208125252,0.14842656,0.179563123,0.004427175,0.074954461,0.107416927,0.105450139,0.149094877,0.370908422,0.42713967,0.432854027,0.677083854,0.693023608,0.833350556
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.195782737,1.424313271,1.402292311,1.52307781,1.467807078,1.450539403,1.482044912,1.544162406,1.458005144,1.37400453,1.214590017,1.132344743,1.197394035,1.146133227,1.271281777,1.283615836,1.165538993,1.223597127,1.353780488,1.504030792,1.777721534,2.090238519,1.790211692,1.860843543,1.948505286,2.025902681,2.312570479,2.193968247,2.500960449,2.492155536,3.051685387
