"Real GDP growth rate, percent",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,2.699994712,2.699992954,2.699993445,2.699998284,2.699997978,2.699992711,2.699990872,2.699998494,2.699992515,2.699995349,2.699991147,2.699998015,2.699998092,2.699998118,2.699995272,2.699989726,2.699995869,2.699990789,2.699971859,2.700030958,2.684004567,5.7,2.9,1.1,2,-1.5,5.6,-0.8,-1.4,9.8,-10,-28,-7.2,9.59999707,9.4,8.9,9.100000139,-10.92420139,8.829349184,12.89071184,6.946288531,8.293291634,4.536568397,5.528629879,5.514800897,5.526472194,5.902583842,5.983245188,7.500089758,3.35427852,3.70689676,2.545404872,1.417525783,1.001987921,1.774487064,2.218851484,3.314992192,3.802198007,4.019345613,2.087711998,-3.481630375
Algeria,,,,,1.114637627,3.464580479,-8.37138481,5.315605907,8.20189652,5.393588193,7.330560211,-1.932995604,10.24968943,7.628125226,1.218163807,10.28446004,9.027783695,7.55230016,9.2000761,-5.400008058,-5.400030054,3.000004942,6.40000066,5.399996984,5.599997326,5.600001368,-0.19999958,-0.699998606,-1.899997538,4.799998027,0.8,-1.2,1.6,-2.102489257,-0.9,3.84769774,3.8,1.1,5.1,3.2,3.8,3,5.6,7.2,4.3,5.9,1.684488318,3.372875155,2.36013486,1.632243838,3.616104432,2.9,3.4,2.8,3.8,3.7,3.2,1.4,1.2,1,-5.1
Angola,,,,5.046748354,3.920717714,3.353584996,12.13140765,2.367805255,4.271973365,9.073363909,9.625492644,6.004695806,0.150900685,8.137442903,3.130805739,-5.04458332,-5.246194903,0.760909786,-5.300482114,0.299738038,2.406169279,-4.400001219,-1.51539E-14,4.200001428,6.000002164,3.49999949,2.900001743,4.082748636,6.128890476,0.041621462,-3.450098684,12.08353757,11.40264494,10.96918803,10.51069427,10.36357208,11.20770295,7.27427736,4.691146434,2.181489733,3.054624234,4.205998565,13.6656865,2.989800256,10.9530524,15.02891147,11.54768318,14.01012694,11.16601689,0.858567053,4.859219584,3.471981378,8.542147334,4.954590476,4.822625551,0.943575613,-2.580097243,-0.15,-1.316361689,-0.702208811,-5.75029183
Antigua and Barbuda,,,,,4.102989722,4.10301808,4.102996675,3.902447598,7.341036995,6.909849643,4.386098347,7.3366041,7.477608661,8.303261113,6.76518257,2.896145714,4.858348713,4.70583971,4.383410517,8.080373602,8.161919381,3.815060501,-0.085061568,5.364454534,10.16535047,7.644352085,11.49297557,6.626264978,5.213528838,5.252201658,3.01168816,2.176578603,1.158475191,5.279878709,6.676157444,-4.359609846,6.605572795,5.471075466,4.730645942,3.708549887,6.202962741,-4.548003473,1.027877142,6.076086769,5.767028612,6.474599177,12.70661455,9.316082632,-0.014047986,-11.96295494,-7.840594744,-1.958612628,3.372130249,-0.600524703,3.796815574,3.824231634,5.496809783,3.14400824,6.883967237,4.862236166,-20.19237057
Argentina,7.875760078,7.09953022,-1.58743,-2.371370077,10.30070019,9.163140297,0.645868003,2.64605999,4.296909809,8.539130211,5.383110046,3.762249947,2.07652998,3.745769978,5.405600071,-0.593078017,-0.011878,6.385910034,-3.222599983,6.936739922,1.529729962,-5.421929836,-3.159039974,4.113349915,1.999989986,-6.951610088,7.138430119,2.590600014,-1.895830035,-6.935379982,-1.830739975,10.57870007,9.60684967,5.72371006,5.836239815,-2.845289946,5.526629925,8.111029625,3.850189924,-3.385360003,-0.789240003,-4.408850193,-10.89449978,8.836700439,8.982819557,9.17895031,8.466059685,8.65334034,4.057233102,-5.91852508,10.12539816,6.003951689,-1.026420463,2.405323787,-2.512615326,2.731159839,-2.080327849,2.818502973,-2.617396461,-2.000861002,-9.943235135
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07921285,18.63976389,12.0951417,3.976866214,7.975272561,5.874778801,7.304146605,8.207106857,2.502760397,1.256732496,7.018190338,1.989047138,1.370743535,7.685024873,4.182002641,-0.944954681,1.11050501,7.29372894,-0.383139604,1.127412128,3.089543901,1.835755679,-11.67774203,-2.733455707,3.369238122,-1.040800135,6.431481824,-0.015308399,3.550623795,2.110159702,5.473694782,5.258600257,0.645264476,-18.58501741
Australia,4.191209793,0.689466,6.248839855,6.12556982,6.841499805,5.107339859,2.370480061,6.266849995,5.149559975,7.046070099,7.158979893,4.02271986,3.938309908,2.624130011,4.051270008,1.255100012,2.634089947,3.483119965,0.903508008,4.125989914,3.044070005,3.403620005,3.215090036,-2.314889908,4.645279884,5.15117979,4.754089832,2.05659008,5.359970093,4.464829922,2.948250055,-0.283964008,0.583202004,4.001080036,3.841730118,4.081530094,4.180009842,3.900000095,4.430009842,5.160039902,3.950020075,1.979969978,3.829969883,3.160020113,4.139959812,2.840070009,3.06994009,3.770040035,2.562057252,1.911031956,2.43901967,2.826619914,3.777014547,2.207204974,2.553096402,2.312295269,2.702094396,2.377879048,2.776732475,1.982566734,-2.13756879
Austria,8.231829643,5.53798008,2.648669958,4.138269901,6.124350071,3.480180025,5.642859936,3.008049965,4.472310066,6.275869846,6.820509911,5.113130093,6.207859993,4.887300014,3.943749905,-0.362302989,4.577000141,5.008629799,-0.146121994,5.456120014,1.783669949,-0.144178003,1.947000027,2.952820063,0.060678001,2.456269979,2.316620111,1.346390009,2.868959904,3.741580009,4.1708498,3.338259935,1.887789965,0.374327987,2.212929964,2.539109945,2.229909897,2.125610113,3.595230103,3.339989901,3.65102005,0.520093977,1.647410035,0.801108003,2.544579983,2.459820032,3.598520041,3.729439974,1.460478824,-3.764643054,1.83711307,2.922810066,0.680430745,0.025554941,0.661246071,1.014519161,1.989430948,2.258583503,2.5015555,1.491208335,-6.734525867
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.09774283,-19.67347418,-13.02718343,2.530843178,8.883956648,6.007242431,11.39585382,6.227069334,6.485547547,9.438916342,10.20830001,9.253801326,27.96153807,34.46620936,25.46321591,10.59143729,9.369502784,4.78883271,-1.572997621,2.202939023,5.843415762,2.797585434,1.049546368,-3.063598454,0.153614647,1.500401707,2.479808934,-4.198960792
"Bahamas, The",,,,6.846616629,6.846606841,6.846630819,6.846580013,5.002955355,5.397860195,5.64695892,5.875657477,-1.123630049,0.710251369,8.46262057,7.022091183,-14.58079953,4.83641604,2.992073022,9.879997003,11.30000682,7.09999758,-2.899997634,6.299998118,6.799997481,2.400003135,4.100002553,2.599997389,3.699606297,2.255096837,2.29999453,1.052161136,-4.181783464,-3.825582741,0.307806453,3.148916321,4.378750977,4.223530213,4.94581193,4.71645904,7.144148863,4.149291258,2.625626754,2.704656371,-1.264757381,0.882924269,3.395263797,2.516849999,1.446471636,-2.323900698,-4.175334663,1.538845978,0.612902596,3.08665713,-2.863074518,1.847257263,0.996775636,-0.857627277,3.050162497,1.830985138,1.896164421,-23.82263117
